aX,aY,aZ,gX,gY,gZ
-1.006,0.160,0.026,7.568,15.259,-34.241
-1.017,0.146,0.023,11.963,18.738,-39.429
-1.027,0.127,0.013,16.052,21.606,-46.021
-1.041,0.115,0.001,18.738,23.621,-52.673
-1.063,0.103,-0.007,19.897,25.574,-59.387
-1.082,0.094,-0.014,19.470,27.283,-66.101
-1.109,0.059,-0.017,17.883,28.870,-73.853
-1.123,0.060,-0.024,15.137,30.579,-80.872
-1.149,0.066,-0.043,12.146,32.654,-87.646
-1.164,0.043,-0.038,8.118,34.485,-94.849
-1.195,0.032,-0.034,5.249,35.095,-103.699
-1.232,0.049,-0.021,3.052,35.889,-111.145
-1.275,0.076,-0.016,-0.122,37.598,-118.652
-1.328,0.093,0.001,-3.784,41.748,-125.549
-1.381,0.107,-0.007,-6.104,45.471,-130.981
-1.431,0.089,-0.026,-7.812,50.049,-139.771
-1.462,0.028,-0.059,-11.963,54.382,-150.940
-1.483,-0.001,-0.097,-13.489,57.495,-163.574
-1.517,-0.063,-0.094,-14.282,59.387,-177.246
-1.494,0.072,-0.150,-11.475,61.951,-190.613
