aX,aY,aZ,gX,gY,gZ
0.445,0.698,-0.394,53.467,49.561,-14.160
0.565,0.597,-0.385,50.659,41.260,-11.475
0.630,0.582,-0.373,41.992,30.151,-9.338
0.622,0.563,-0.411,34.424,15.686,-10.193
0.620,0.489,-0.368,23.437,0.122,-11.963
0.634,0.410,-0.284,12.756,-12.207,-12.024
0.642,0.437,-0.261,9.766,-21.057,-9.766
0.512,0.533,-0.378,13.550,-35.950,-7.874
0.433,0.551,-0.404,12.573,-59.509,-7.324
0.385,0.594,-0.409,13.062,-81.482,-3.113
0.377,0.547,-0.227,15.503,-100.586,1.343
0.447,0.445,-0.088,15.442,-111.206,5.493

0.118,0.955,-0.243,-70.679,-53.406,-65.002
0.117,0.883,-0.248,-61.951,-63.782,-62.988
0.108,0.829,-0.209,-51.514,-74.158,-60.486
0.104,0.793,-0.185,-46.936,-83.008,-58.899
0.104,0.786,-0.181,-44.434,-91.003,-58.716
0.120,0.764,-0.134,-42.603,-98.145,-58.960
0.159,0.746,-0.081,-40.894,-105.347,-58.044
0.175,0.797,-0.018,-30.945,-113.220,-55.847
0.233,0.550,0.379,-28.015,-119.995,-52.551
0.247,0.913,0.320,-7.812,-113.403,-45.715
0.086,0.534,0.911,2.747,-94.299,-46.509
0.038,0.343,1.490,-10.559,-74.158,-38.025
-0.001,0.501,1.709,-9.888,-46.448,-27.832
-0.072,0.536,1.932,-9.216,-24.109,-27.283
0.322,0.483,-0.242,-13.794,-95.215,-3.479
0.322,0.582,-0.087,-9.766,-105.957,-2.502
0.479,0.396,0.807,-34.912,-104.492,0.061
0.633,0.595,1.438,-48.767,-61.279,22.461
0.547,0.522,-0.478,-12.573,35.522,-11.292
0.539,0.494,-0.536,-2.014,20.081,-9.705
0.502,0.523,-0.511,4.700,1.465,-9.216
0.467,0.549,-0.320,13.550,-18.982,-8.057
0.512,0.593,-0.298,25.696,-36.499,-5.676
0.493,0.644,-0.389,40.771,-52.612,-2.991
0.426,0.641,-0.402,48.645,-71.594,-0.854
0.419,0.618,-0.288,49.683,-91.370,2.930
0.450,0.570,-0.165,45.471,-106.812,7.568
0.490,0.576,-0.228,41.626,-120.361,10.742
0.477,0.592,-0.118,25.269,-131.836,10.864
0.504,0.547,0.202,-3.540,-137.146,9.216
0.636,0.513,0.613,-29.968,-129.761,12.634
0.428,0.608,0.698,-19.897,-114.441,17.212
0.195,0.611,0.759,2.258,-112.366,8.789
0.249,0.501,0.944,-14.465,-115.112,3.418
0.442,0.612,1.053,-6.226,-110.474,6.958
0.335,0.674,1.233,16.846,-93.323,6.836
0.307,0.439,1.737,8.728,-67.627,5.737
0.436,0.630,-0.144,13.550,-140.991,17.822
0.480,0.468,0.407,-16.663,-143.738,15.015
0.595,0.712,1.175,-30.151,-121.643,26.428
0.267,0.437,1.080,-27.649,-94.360,29.541
0.083,0.419,1.124,-20.813,-107.056,22.644
0.228,0.430,1.462,-20.935,-110.352,18.066
0.479,0.721,1.191,-3.906,-95.215,15.076
0.326,0.723,1.427,30.701,-70.923,5.310
0.457,0.512,1.831,-1.770,-45.288,2.625
0.510,0.496,1.815,19.958,-32.410,13.184
0.550,0.424,1.885,12.207,-17.700,16.296
0.573,0.530,1.735,13.550,-0.732,18.738
0.607,0.550,1.566,13.367,11.169,15.381
0.683,0.565,1.315,8.972,22.034,12.268
0.707,0.586,1.110,4.089,29.907,8.606
0.700,0.593,1.098,-7.935,36.865,3.906
0.698,0.656,1.027,-6.592,42.969,-0.183
0.682,0.659,1.051,-5.371,49.255,-4.822
0.686,0.596,1.054,-7.446,56.152,-7.263
0.677,0.536,0.975,-5.371,62.561,-8.179
0.648,0.603,0.821,1.526,68.237,-10.193
0.546,0.734,0.544,9.216,71.045,-14.832
0.395,0.650,0.570,0.061,72.205,-20.569
0.307,0.392,0.910,-15.198,75.195,-18.311
0.346,0.384,0.877,2.808,80.994,-10.254
0.445,0.491,0.567,25.391,83.862,-4.883
0.458,0.712,0.173,28.931,82.886,-6.104
0.298,0.655,0.421,17.212,83.435,-12.329
0.314,0.619,0.229,23.315,81.482,-10.559
0.365,0.856,-0.069,37.170,72.266,-9.644
0.372,0.813,-0.265,35.645,62.195,-15.808
0.494,0.681,-0.511,25.208,45.715,-16.846
0.604,0.637,-0.687,16.113,29.358,-14.160
0.640,0.614,-0.696,4.028,11.475,-14.771
0.634,0.542,-0.468,-12.634,-8.728,-17.517
0.669,0.537,-0.260,-18.127,-26.794,-17.029
0.614,0.572,-0.262,-14.587,-41.016,-17.761
0.463,0.534,-0.301,-26.367,-57.007,-20.142
0.381,0.494,-0.306,-36.316,-75.317,-20.630
0.385,0.509,-0.281,-40.100,-89.478,-16.235
0.395,0.534,-0.252,-33.264,-102.478,-10.620
0.367,0.532,-0.012,-25.330,-113.892,-7.141
0.491,0.449,0.288,-30.701,-120.239,-2.808
0.618,0.594,0.755,-18.311,-111.450,5.066
0.427,0.488,0.864,-19.470,-83.252,10.925
0.291,0.258,0.972,-17.761,-92.590,8.667
0.336,0.307,1.218,-26.794,-104.370,5.920
0.549,0.667,1.131,-19.531,-93.323,2.197
0.377,0.621,1.498,0.488,-71.106,-3.479
0.505,0.410,1.914,-7.141,-43.030,-3.723
0.599,0.439,1.732,17.883,-35.339,6.592
0.611,0.406,1.834,22.705,-20.020,10.010
0.579,0.449,1.771,20.935,1.526,12.451
0.599,0.460,1.635,17.944,14.221,11.536
0.661,0.496,1.277,13.306,21.729,7.996
0.643,0.486,1.084,15.564,27.527,6.348
0.629,0.484,1.059,7.019,33.508,5.859
0.654,0.503,1.036,7.446,38.940,5.676
0.681,0.472,1.044,7.385,47.485,4.150
0.689,0.392,1.054,2.502,55.420,2.441
0.693,0.377,1.016,-2.502,63.171,1.465
0.671,0.566,0.631,2.197,69.092,-1.099
0.468,0.774,0.390,6.653,70.435,-8.057
0.278,0.471,0.893,-27.039,75.745,-13.977
0.321,0.258,0.929,-31.494,81.604,-4.944
0.462,0.355,0.691,-8.972,85.632,5.432
0.537,0.600,0.220,-3.662,87.036,5.249
0.340,0.735,0.240,-17.578,86.121,-3.479
0.256,0.472,0.234,-27.588,86.121,-4.456
0.277,0.635,0.036,-13.367,76.172,4.211
0.208,0.781,-0.163,1.526,67.505,2.991
0.298,0.680,-0.170,-1.953,55.420,0.122
0.434,0.603,-0.398,8.301,41.687,5.798
0.533,0.559,-0.560,10.559,30.701,6.958
0.583,0.531,-0.623,2.625,16.174,6.836
0.583,0.477,-0.508,-8.667,-2.075,6.409
0.630,0.447,-0.397,-12.939,-20.020,7.446
0.664,0.472,-0.442,-8.667,-33.508,9.094
0.537,0.573,-0.395,-15.564,-47.852,8.301
0.453,0.555,-0.289,-25.391,-66.833,7.690
0.415,0.513,-0.174,-28.931,-81.970,11.963
0.403,0.500,-0.145,-22.339,-93.689,17.944

-0.085,1.023,-0.009,16.602,1.648,25.024
-0.101,0.896,-0.208,8.911,2.441,22.461
-0.156,0.969,-0.372,6.836,4.089,20.935
-0.226,1.013,-0.412,0.183,7.446,18.250
-0.276,1.011,-0.421,-4.883,7.019,16.479
-0.315,0.991,-0.408,-8.911,1.038,14.832
-0.359,0.990,-0.340,-6.592,-6.592,13.489
-0.318,0.971,-0.237,-0.488,-15.381,12.695
-0.262,0.917,-0.209,2.991,-25.146,10.742
-0.224,0.966,-0.261,9.949,-29.785,7.141
-0.231,0.998,-0.254,17.090,-32.410,4.028
-0.220,0.941,-0.195,8.972,-33.691,4.272
-0.179,0.825,-0.156,-8.179,-33.936,8.789
-0.174,0.789,-0.189,-17.273,-34.363,14.282
-0.179,0.822,-0.199,-25.940,-35.278,19.287
-0.162,0.941,-0.151,-35.339,-35.400,22.949
-0.143,1.062,-0.200,-38.635,-36.316,24.414
-0.163,1.136,-0.214,-32.776,-39.429,25.452
-0.129,1.039,-0.226,-24.109,-44.556,28.198
-0.108,0.903,-0.179,-22.827,-48.279,30.273
-0.097,0.828,-0.146,-27.527,-50.842,32.776
-0.111,0.835,-0.145,-32.043,-53.040,34.912
-0.123,0.850,-0.050,-43.945,-54.199,36.438
-0.088,0.836,0.000,-61.523,-53.101,38.879
-0.036,0.793,-0.038,-79.285,-51.575,41.992
-0.011,0.811,-0.098,-97.168,-49.988,45.044
-0.007,0.887,-0.129,-110.046,-49.927,47.974
-0.010,0.936,-0.102,-116.455,-51.819,51.453
-0.033,1.005,-0.007,-118.164,-53.040,55.420
-0.051,1.084,0.110,-115.601,-53.101,59.204
-0.041,1.133,0.289,-112.000,-51.453,60.730
-0.074,1.041,0.446,-113.220,-45.776,59.875
-0.081,0.953,0.642,-124.146,-33.997,59.265
-0.083,0.849,0.713,-130.615,-18.250,59.631
-0.069,0.767,0.650,-139.099,-3.357,60.242
-0.136,0.825,0.409,-148.315,7.812,60.730
-0.140,0.969,-0.023,-148.315,15.198,58.899
-0.158,1.071,-0.445,-150.024,18.616,53.528
-0.142,1.066,-0.790,-144.897,15.686,49.255
-0.125,1.067,-1.070,-138.367,7.812,45.898
-0.100,1.028,-1.194,-130.127,-3.418,42.969
-0.056,1.009,-1.202,-115.234,-17.761,40.710
-0.002,1.038,-1.058,-91.431,-33.508,39.124
0.037,1.028,-0.851,-58.960,-45.898,36.560
0.012,0.813,-0.535,-35.583,-50.720,32.349
0.061,0.530,0.191,-29.480,-43.579,30.151
-0.021,0.321,0.799,-38.574,-23.682,30.029
-0.073,0.335,1.060,-46.082,3.601,34.485
-0.152,0.388,1.109,-45.349,32.532,39.185
-0.243,0.589,0.618,-41.199,59.265,41.565
-0.494,0.725,0.250,-30.273,76.965,37.781
-0.473,0.545,0.284,-25.208,87.097,39.551
-0.483,0.767,-0.029,-0.854,91.553,40.405
