aX,aY,aZ,gX,gY,gZ
0.048,0.422,0.849,-22.583,-2.869,-101.013
0.080,0.159,0.740,-27.893,-7.446,-112.732
0.038,-0.069,0.812,-40.405,-11.963,-117.249
-0.052,-0.018,0.898,-42.603,-13.367,-117.126
-0.037,-0.368,0.932,-39.185,-15.686,-119.263
-0.070,-0.976,0.866,-48.279,-20.142,-114.685
-0.012,-1.379,1.135,-64.575,-21.118,-94.299
0.005,-1.064,1.115,-30.762,5.371,-36.316
0.056,-1.058,1.014,-24.048,5.981,-21.240
0.110,-1.126,0.938,-26.184,5.432,0.183
0.136,-1.206,0.938,-28.931,3.784,27.954
0.050,-1.211,1.020,-30.396,5.798,-64.331
0.025,-0.519,0.831,-85.327,0.427,-90.393
-0.005,-0.615,0.852,-73.975,-0.610,-78.857
-0.031,-0.624,0.890,-57.251,-1.343,-66.406
-0.028,-0.809,0.921,-46.082,-5.371,-53.162
-0.039,-0.945,0.978,-45.166,-8.667,-34.729
-0.024,-1.017,0.906,-38.147,-8.423,-15.076
0.009,-1.157,0.865,-39.185,-9.155,2.319
0.029,-1.226,0.858,-40.710,-10.681,21.057
0.032,-1.181,0.891,-38.757,-11.536,40.649
0.000,-1.005,0.927,-30.151,-10.498,58.960
-0.048,-0.769,0.959,-15.137,-9.644,70.618
-0.082,-0.495,1.000,6.165,-8.728,78.003
-0.114,-0.254,1.050,31.067,-7.996,84.778
-0.127,-0.110,1.097,50.842,-8.545,92.529
-0.144,-0.004,1.173,60.059,-9.705,102.112
-0.150,0.109,1.045,63.843,-8.545,110.901
-0.115,-0.071,1.113,48.218,-11.780,115.723
-0.138,0.432,1.162,49.683,-8.972,117.676
-0.202,0.632,1.114,67.017,-3.540,109.009
-0.271,0.538,1.252,30.212,-7.385,94.299
-0.339,0.770,1.456,-6.653,-1.526,81.421
-0.216,0.338,1.315,1.038,-10.864,103.210
